,Hotel,Review,Score
5320,Idea Hotel Milano San Siro, Hotel was modern and with great breakfast ,0.6249
5321,Idea Hotel Milano San Siro, Very friendly staff room was very clear and comfortable The hotel is big and looks very nice,0.9192
5323,Idea Hotel Milano San Siro, Despite the hotels number of stars it should be recognised as a budget hotel If evaluated from that perspective it is a fine hotel Location is close relatively close to a huge water park San Siro metro station 20 minutes to Milano city Center and Doumo local supermarket and high way leading to airport Malpensa approx 35 minutes ,0.4363
5324,Idea Hotel Milano San Siro, Breakfast was good Bed was OK,0.7034
5325,Idea Hotel Milano San Siro, The room is very comfortable The breakfast is great even if there is a lot of people in front of the buffet there is a huge choice and good quantity ,0.9168
5326,Idea Hotel Milano San Siro, Room was airy and spacious cleaned daily and air conditioned ,0
5327,Idea Hotel Milano San Siro, Very recomendable place Well equipped and enough space in the room Very comfortable bed Friendly staff at reception Very big lobby Great breakfast,0.9344
5328,Idea Hotel Milano San Siro, Location,0
5329,Idea Hotel Milano San Siro, The room was nice and big Free parking behind the hotel gate ,0.7269
5330,Idea Hotel Milano San Siro, The room was okay beds as well ,0.4588
5331,Idea Hotel Milano San Siro, Staff friendly and willing to get us food even though we were late arrivals,0.4939
5332,Idea Hotel Milano San Siro, Staff at reception and in the breakfast room were very polite and friendly Good shuttle service to and from San Siro ,0.7479
5333,Idea Hotel Milano San Siro, Well organized hotel good rooms good breakfast ,0.7845
5336,Idea Hotel Milano San Siro, Excellent transfer service to San Siro ,0.5719
5337,Idea Hotel Milano San Siro, Position that s it ,0
5338,Idea Hotel Milano San Siro, Price ,0
5339,Idea Hotel Milano San Siro, Room was clean breakfast was excellent ,0.7506
5340,Idea Hotel Milano San Siro, Nothing,0
5341,Idea Hotel Milano San Siro, i made a mistake with my booking but i asked for the manager Marco and he was very kind and very friendly and fixed my problem without any extra charge the staff also was very helpfull and friendly big and new room breackfast very nice with big varients and waiters was alwayes smiling and helpfull transfer shuttele was great because the hotel a littele far from center parking guys was very funny and gentelman the parking cost 8 euros but it deserve because 24 24 safe internet is free even in the room the price for all this was very very convenient i will be back for sure and thanks for idea hotel ,0.9933
5342,Idea Hotel Milano San Siro, The hotel staff is very nice and the breakfast was pretty much ok,0.8173
5343,Idea Hotel Milano San Siro, The best budget hotel we have ever stayed in Its really close to the Autostrada which is why we booked Staff are fantastic despite some very rude customers and one even phoned for a pizza for us Breakfast is so good with loads of fresh fruit and pastries,0.948
5344,Idea Hotel Milano San Siro, Very good room breakfast was nice bus right outside to take to stadium and metro easy access to city centre from metro,0.8357
5345,Idea Hotel Milano San Siro, The cleanest hotel ever seen I m really satisfied about that Breakfast was excellent ,0.7778
5346,Idea Hotel Milano San Siro, King size bed comfortable Size of room A C Design,0.5106
5347,Idea Hotel Milano San Siro, The room was spacious and clean Comfortable bed and pillows Very safe parking left three bicycles on the roof overnight and they were still there in the morning ,0.8479
5348,Idea Hotel Milano San Siro, Clean comfortable and reasonable value for money Good for an overnight stop for those with a car ,0.8442
5349,Idea Hotel Milano San Siro, The room was large and very clean towels and bedding changed each day Reception staff very friendly and helpful Free wifi and shuttle bus to the metro station ,0.9161
5351,Idea Hotel Milano San Siro, The lift is very fast On Sunday it was good to have food delivered to our room Also it was very good to give us 2 extra pillows The location is excellent you can see the mountains at a distance and it is surrounded by a large green area ,0.8687
5352,Idea Hotel Milano San Siro, Front dest was helpful in explaining how we could get into Milan by bus ,0.4215
5353,Idea Hotel Milano San Siro, very clean new room quiet hotel breakfast with lot of choices great view on green relaxing price is great for the quality and the staff was very kind and helpfull specialy the reception,0.9589
5354,Idea Hotel Milano San Siro, Good room with big bed all new Receptionist guy was Expert and very helpfull price is very convinient,0.4404
5355,Idea Hotel Milano San Siro, The hotel is walking distance from our meeting point ,0
5356,Idea Hotel Milano San Siro, Spacious room and bathroom good bed breakfast was more than nice value for money ,0.8244
5358,Idea Hotel Milano San Siro, Staff friendliness and good breakfast choice ,0.7096
5359,Idea Hotel Milano San Siro, Hotel was great room was clean when we got there and the other day when we were out room it was cleaned and bedsheets changed Free wifi lcd tv Staff was excellent and very polite breakfast was one of the best I ever had full of everything and they keep bringing more also there were fresh juice s and marmalades Surely will visit again ,0.9726
5361,Idea Hotel Milano San Siro, The room walls had a really nice soothing blue color ,0.688
5363,Idea Hotel Milano San Siro, room was ok,0.296
5365,Idea Hotel Milano San Siro, The staff and cleanliness of the hotel ,0
5366,Idea Hotel Milano San Siro, Location is good for the money spent Spacious room Housekeeping noticed on the third day the way I wanted my bed done ,0.4404
5367,Idea Hotel Milano San Siro, Cleanliness great breakfast free shuttle bus to metro station nice room with big bed great value for money I spent for being there,0.9493
5368,Idea Hotel Milano San Siro, Breakfast was good,0.4404
5369,Idea Hotel Milano San Siro, New property nice room good breakfast ,0.6908
5370,Idea Hotel Milano San Siro, It was ok ,0.296
5371,Idea Hotel Milano San Siro, Service at the restaurant was good ,0.4404
5372,Idea Hotel Milano San Siro, Nothing ,0
5375,Idea Hotel Milano San Siro, Very clean good aircon and nice stuff ,0.839
5376,Idea Hotel Milano San Siro, The staff,0
5378,Idea Hotel Milano San Siro, This was my 4 time there and it is my last time,0
5380,Idea Hotel Milano San Siro, the bed was comfortable,0.5106
5381,Idea Hotel Milano San Siro, Hotel is just perfect except location,0.5719
5382,Idea Hotel Milano San Siro, Very good standard close to motorway delicious breakfest Perfect for travellers ,0.8908
5384,Idea Hotel Milano San Siro, The juice in the breakfast,0
5385,Idea Hotel Milano San Siro, The place is quite ,0
5386,Idea Hotel Milano San Siro, Good price,0.4404
5387,Idea Hotel Milano San Siro, Good location if you travel by car and need to make a stop to overnight ,0.1779
5388,Idea Hotel Milano San Siro, The rooms were clean ,0.4019
5389,Idea Hotel Milano San Siro, Nothing really ,0
5390,Idea Hotel Milano San Siro, Friendly staff free shuttle service to the metro station ,0.7579
5391,Idea Hotel Milano San Siro, The morning buffet,0
5394,Idea Hotel Milano San Siro, Good sized rooms with comfortable beds and strong air conditioning Breakfast was delicious ,0.9217
5395,Idea Hotel Milano San Siro, Good breakfast,0.4404
5396,Idea Hotel Milano San Siro, Every thing was good Receptions was very helpful the price was good ,0.8357
5397,Idea Hotel Milano San Siro, The hotel is very nice and new ,0.4754
5398,Idea Hotel Milano San Siro, Good,0.4404
5399,Idea Hotel Milano San Siro, The price,0
5400,Idea Hotel Milano San Siro, Everything,0
5401,Idea Hotel Milano San Siro, not alike at all,0
5402,Idea Hotel Milano San Siro, Great room wonderful breastfast ,0.8316
5403,Idea Hotel Milano San Siro, Very comfortable room and fantastic breakfast ,0.8016
5404,Idea Hotel Milano San Siro, Rather good Good breakfast Bus stop close there ,0.5574
5405,Idea Hotel Milano San Siro, The Staff is extremely helpful ,0.4754
5406,Idea Hotel Milano San Siro, Rooms are pretty large and cozy and there is also a free and very nice breakfast with lot of fruits ,0.8622
5407,Idea Hotel Milano San Siro, Location of hotel ,0
5409,Idea Hotel Milano San Siro, Lovely breakfast,0.5859
5410,Idea Hotel Milano San Siro, The beds are comfortable and the room was clean,0.7184
5414,Idea Hotel Milano San Siro, Good service and spacious and comfortable room,0.7351
5419,Idea Hotel Milano San Siro, What can i say it s fabulous,0.5267
5421,Idea Hotel Milano San Siro, Exelent breakfast,0
5422,Idea Hotel Milano San Siro, All,0
5424,Idea Hotel Milano San Siro, Comfy large beds Clean rooms Friendly staff ,0.7096
5425,Idea Hotel Milano San Siro, breakfast cleanliness of room ,0
5426,Idea Hotel Milano San Siro, Quit place,0
5427,Idea Hotel Milano San Siro, The stuff extremly unhelpfull ,0
5429,Idea Hotel Milano San Siro, Beds were comfortable Staff were nice ,0.7269
5430,Idea Hotel Milano San Siro, Parking,0
5431,Idea Hotel Milano San Siro, The price for us as a family was very good ,0.4927
5433,Idea Hotel Milano San Siro, Everything was exactly like described Had no issues ,0.0772
5434,Idea Hotel Milano San Siro, Breakfast the staff there It s a good start to the day they were pleasant and we appreciated their hard work ,0.8442
5435,Idea Hotel Milano San Siro, Extra big bed Nice breakfast,0.4215
5437,Idea Hotel Milano San Siro, Breakfast very good Stuff nice people,0.7397
5438,Idea Hotel Milano San Siro, Good breakfast,0.4404
5440,Idea Hotel Milano San Siro, It is very quite and peaceful ,0.5778
5445,Idea Hotel Milano San Siro, The position of the hotel and very clean room ,0.4576
5446,Idea Hotel Milano San Siro, Breakfast was very good and you had a lot of food on choice Room was clean ,0.7089
5447,Idea Hotel Milano San Siro, Room size ,0
5449,Idea Hotel Milano San Siro, The location room setting and the breakfast was lovely ,0.5859
5450,Idea Hotel Milano San Siro, Very very polite stuff the breakfast was excelent rooms are extra clean safe parking on the site My warm recomendation for destination Milan ,0.7579
5451,Idea Hotel Milano San Siro, The Hotel was clean the food was good too Staff very helpful and nice Overall a good stay ,0.9281
5452,Idea Hotel Milano San Siro, Breakfast Buffet was good,0.4404
5454,Idea Hotel Milano San Siro, Good breakfast nice room Quite location ,0.6908
5456,Idea Hotel Milano San Siro, Breakfast quite rich but it could be improved ,0.7647
5457,Idea Hotel Milano San Siro, Super breakfast helpfull staff,0.5994
5458,Idea Hotel Milano San Siro, Goid beds,0
5459,Idea Hotel Milano San Siro, Great stay very nice staff who made you feel comfortable and relaxed ,0.9286
5460,Idea Hotel Milano San Siro, Staff was very friendly,0.5413
5461,Idea Hotel Milano San Siro, Good price nice people,0.6908
5462,Idea Hotel Milano San Siro, The hotel is perfect the only problem is the transportation to the hotel,0.25
5463,Idea Hotel Milano San Siro, Friendly staff and good food ,0.7269
5464,Idea Hotel Milano San Siro, The breakfast the price given last minute booking ,0
5465,Idea Hotel Milano San Siro, Everything was perfect ,0.5719
5466,Idea Hotel Milano San Siro, It was clean and comfortable Free wi fi ,0.8519
5467,Idea Hotel Milano San Siro, Breakfast room and outside area where you can smoke,0
5469,Idea Hotel Milano San Siro, The variety of fruits in the breakfast,0
5470,Idea Hotel Milano San Siro, The breakfast is the best,0.6369
5471,Idea Hotel Milano San Siro, Never cold inside,0
5472,Idea Hotel Milano San Siro, Clean Good value Spacy and nice room Peaceful,0.9186
5473,Idea Hotel Milano San Siro, Everything was good,0.4404
5474,Idea Hotel Milano San Siro, WONDERFUL BREAKFAST VERY FRIENDLY STAFF ,0.8016
5475,Idea Hotel Milano San Siro, I liked the room ,0.4215
5476,Idea Hotel Milano San Siro, Price,0
5477,Idea Hotel Milano San Siro, Food is good and room is clean,0.6808
5478,Idea Hotel Milano San Siro, Value for money,0.34
5480,Idea Hotel Milano San Siro, friendly staff everything is clean,0.7096
5481,Idea Hotel Milano San Siro, Very nice breakfast nice staff room was cleaned every day,0.7316
5482,Idea Hotel Milano San Siro, Nice rooms clean big comfy bed,0.6705
5483,Idea Hotel Milano San Siro, view,0
5485,Idea Hotel Milano San Siro, Everything is Good We stay one night The Prince is cheep ,0.4404
5486,Idea Hotel Milano San Siro, Breakfast,0
5487,Idea Hotel Milano San Siro, No no no,0.4168
5488,Idea Hotel Milano San Siro, The room was clean Bed is comfortable ,0.7184
5490,Idea Hotel Milano San Siro, I liked everthing Room very clean and comfortable Stuff very kind and friendly Breakfast very delicious A big thank you for everything ,0.972
5491,Idea Hotel Milano San Siro, Not bad,0.431
5492,Idea Hotel Milano San Siro, great staff nice breakfasts and really good looking rooms,0.8777
5493,Idea Hotel Milano San Siro, Nothing,0
5494,Idea Hotel Milano San Siro, Breakfast was great Easily accessible with bus there was a bus stop close by Room was nice ,0.8519
5495,Idea Hotel Milano San Siro, The rooms were comfortable and very clean Lovely shower ,0.8852
5496,Idea Hotel Milano San Siro, Eggs extra fluffy,0
5497,Idea Hotel Milano San Siro, breakfast quite surroundings content,0
5498,Idea Hotel Milano San Siro, everythng fine purposefull ,0.2023
5501,Idea Hotel Milano San Siro, Room is clean breakfast is great ,0.7783
5502,Idea Hotel Milano San Siro, Great Bed and Good bedroom size and lastly GREAT BREAKFAST ,0.9158
5504,Idea Hotel Milano San Siro, sufficient for the Breakfast,0
5506,Idea Hotel Milano San Siro, Great service and breakfast buffet,0.6249
5508,Idea Hotel Milano San Siro, Very clean,0.4576
5509,Idea Hotel Milano San Siro, The restaurant is very good,0.4927
5510,Idea Hotel Milano San Siro, Nothing,0
5511,Idea Hotel Milano San Siro, Too old,0
5512,Idea Hotel Milano San Siro, Breakfast is great ,0.6249
5513,Idea Hotel Milano San Siro, Nothing,0
5514,Idea Hotel Milano San Siro, friendly staff,0.4939
5515,Idea Hotel Milano San Siro, breakfast was delicious and hotel is very clean ,0.7713
5516,Idea Hotel Milano San Siro, comfortable beds good wifi availability of AC,0.7351
5517,Idea Hotel Milano San Siro, Not crawed very quite,0
5519,Idea Hotel Milano San Siro, The black guy at reception,0
5520,Idea Hotel Milano San Siro, position,0
5521,Idea Hotel Milano San Siro, The staff was extremely helpful ,0.4754
5522,Idea Hotel Milano San Siro, breakfast good staff spoke excellent English,0.765
5523,Idea Hotel Milano San Siro, the bed is comfy the receptionists are nice ,0.4215
5524,Idea Hotel Milano San Siro, Modern and comfortable ,0.5106
5526,Idea Hotel Milano San Siro, Simple but big breakfast,0
5531,Idea Hotel Milano San Siro, Everything was ok ,0.296
5532,Idea Hotel Milano San Siro, Good location free WiFi decent breakfast,0.7351
5535,Idea Hotel Milano San Siro, Fresh Croissants ,0.3182
5536,Idea Hotel Milano San Siro, it was great in comfort also in price the location was nice ,0.8555
5537,Idea Hotel Milano San Siro, Nice hotel but far from Milan downtown,0.2263
5538,Idea Hotel Milano San Siro, It is still a Holiday inn like hotel Good furniture pleasant rooms Staff is very friendly and helpful ,0.9513
5540,Idea Hotel Milano San Siro, Breakfast and parking,0
5541,Idea Hotel Milano San Siro, Very good choice for that money ,0.4927
5542,Idea Hotel Milano San Siro, Nice and friendly staff,0.7184
5543,Idea Hotel Milano San Siro, VERY BELLO ,0
5544,Idea Hotel Milano San Siro, Price,0
5545,Idea Hotel Milano San Siro, They provide Breakfast,0
5546,Idea Hotel Milano San Siro, The watermelon and the breakfast and the wifi And the prices are nice,0.4215
5548,Idea Hotel Milano San Siro, the hosts were so very friendly and the place very comfortable and affordable ,0.8108
5549,Idea Hotel Milano San Siro, Rooms are nice and clean ,0.6705
5551,Idea Hotel Milano San Siro, Breakfast clineness,0
5553,Idea Hotel Milano San Siro, Spacious room free wifi good breakfast,0.7351
5554,Idea Hotel Milano San Siro, Everything was good We enjoyed out stay Staff were extremely friendly and helpful,0.9145
5555,Idea Hotel Milano San Siro, Cost Value,0.34
5556,Idea Hotel Milano San Siro, Great breakfast ,0.6249
5557,Idea Hotel Milano San Siro, Very Good Breakfast Perfect price 6 km to center,0.7996
5558,Idea Hotel Milano San Siro, large beds,0
5559,Idea Hotel Milano San Siro, Everything was good Breakfast was OK The room was clear with hot water and A C ,0.8143
5561,Idea Hotel Milano San Siro, GRANDE LAURA PAUSINI,0
5562,Idea Hotel Milano San Siro, dunno why they whrite bad comments the hotel was perfect clean rooms with great staff keep it up idea hotel,0.7906
5563,Idea Hotel Milano San Siro, perfect in evry thing i want to know if u have ideaa hotel outside italy,0.6124
5564,Idea Hotel Milano San Siro, affordable price and very near to sansiro clean rooms and gentleman at reception,0.4019
5565,Idea Hotel Milano San Siro, is not my frist time ad idea hotel and this hotel is going to be the best from sedney with love,0.8555
5566,Idea Hotel Milano San Siro, liebe idea hotel,0
5567,Idea Hotel Milano San Siro, RELAXXXXXXXXXXXXX,0
5568,Idea Hotel Milano San Siro, quality is great for price breackfast was great and reception was very helpfull OH MY GOD AHAHAHA,0.9008
5569,Idea Hotel Milano San Siro, very best,0.6697
5570,Idea Hotel Milano San Siro, all was perfect,0.5719
5571,Idea Hotel Milano San Siro, very best,0.6697
5572,Idea Hotel Milano San Siro, all was perfect kind staff and lovley room,0.7964
5574,Idea Hotel Milano San Siro, good breakfast modern hotel,0.4404
5575,Idea Hotel Milano San Siro, clean room good breakfast,0.6808
5576,Idea Hotel Milano San Siro, Easy to get to and from the airport and easy ride to nearest tube ,0.7003
5577,Idea Hotel Milano San Siro, Excellent men for 18 euro in the evening,0.5719
5578,Idea Hotel Milano San Siro, very friendly staff good breakfast good public transport close by ,0.861
5579,Idea Hotel Milano San Siro, Nothing,0
5580,Idea Hotel Milano San Siro, Nice hotel,0.4215
5582,Idea Hotel Milano San Siro, Price price price Breakfast bed room size ,0
5583,Idea Hotel Milano San Siro, Good value,0.6486
5584,Idea Hotel Milano San Siro, la situation,0
5585,Idea Hotel Milano San Siro, Friendly staff,0.4939
5586,Idea Hotel Milano San Siro, the staff on the reception are nice and very helpful ,0.7089
5587,Idea Hotel Milano San Siro, Not much unfortunately I wont be back,0.2584
5588,Idea Hotel Milano San Siro, room was comfortable ,0.5106
5589,Idea Hotel Milano San Siro, nice staff,0.4215
5591,Idea Hotel Milano San Siro, Nothing at all,0
5593,Idea Hotel Milano San Siro, Motel not hotel,0
5594,Idea Hotel Milano San Siro, Staff were very nice,0.4754
5595,Idea Hotel Milano San Siro, the breakfast was great and the beds really comfortable,0.8268
5596,Idea Hotel Milano San Siro, Good food at the restaurant ,0.4404
5597,Idea Hotel Milano San Siro, Nothing worse place I have ever stayed,0.3724
5600,Park Lane Mews Hotel, The staff were helpful location very good the outside look of hotel is lovely and nice area to wander round Easy walking to oxford street etc ,0.9381
5601,Park Lane Mews Hotel, Close to Hyde Park for a BST concert we were attending Fri melt and helpful staff good food and a breakfast deal if you booked on arrival which we opted for ,0.6908
5602,Park Lane Mews Hotel, Really good location Friendly staff The breakfast was OK ,0.8621
5603,Park Lane Mews Hotel, The location was pretty good if a bit hard to find ,0.6908
5604,Park Lane Mews Hotel, Location is great Room was hot due to good weather Room had an AC machine which is great to cool down room quickly but it s very bulky and very very noisy,0.5849
5605,Park Lane Mews Hotel, Nothing in particular,0
5607,Park Lane Mews Hotel, big rooms and clean staff are so kind and smiling all time the location of hotel is near greenpark and shops great room secvice ,0.9375
5608,Park Lane Mews Hotel, Location,0
5610,Park Lane Mews Hotel, Competitive price for where you are staying ,0.1779
5611,Park Lane Mews Hotel, Staff was very helpful pleasant and assisted us assisted us in every manner House keeping was actually found our rooms cleaned and fresh supplies daily This however could not offset the condition of the room Channel selections on the TV were marginal at best very few available stations to watch in the evening when we return to the room,0.9168
5613,Park Lane Mews Hotel, Location was very good for our visit to the Hyde Park festival and relatively quiet Staff were friendly and efficient Breakfast was good and was worth the special offer reduced price Nice comfortable public room with bar We considered drink and food prices reasonable for a central London hotel ,0.975
5614,Park Lane Mews Hotel, Great location for Hyde park Green Park and buck place if it takes your fancy The local bars and restaurants are just meters away on a small mews behind the hotel are a really high standard The hotel is fairly basic but its tastefully decorated and the room was very clean and perfectly functional ,0.9292
5616,Park Lane Mews Hotel, Great location Comfy bed good air con,0.7906
5617,Park Lane Mews Hotel, The bed was too small The TV did not work The air conditioning was very noisy but the staff were friendly and helpful Breakfast was not included so I signed for it but the waitress was difficult about it Why not include breakfast ,0.6432
5618,Park Lane Mews Hotel, Pleasant old time ambience Could be good given an update and make over without killing old gentleman s club style Breakfast O K though staff untrained ,0.8663
5619,Park Lane Mews Hotel, Small rooms but perfectly adequate for the price Location excellent Nice complimentary shower gel etc Special offer on breakfast ,0.9783
5620,Park Lane Mews Hotel, Location OK,0.4466
5621,Park Lane Mews Hotel, I loved everything about this Hotel Property is a bit dated but to be honest this only adds to the charm as it is well taken care of ,0.9545
5623,Park Lane Mews Hotel, Excellent location helpful nice and extremely friendly staff especially Daniela the receptionist After the strongly needed renovation this hotel could turn into a Mayfair gem Right now it is scandalous in comparison to the rate I paid ,0.8883
5625,Park Lane Mews Hotel, Great breakfest but too pricy They switched my room free when I complained about small twin bed for 2 persons Nice reception great location walking to Buckingham palace restaurants hyde park ,0.93
5627,Park Lane Mews Hotel, The outside looked nice and the staff were friendly ,0.7184
5628,Park Lane Mews Hotel, The location is excellent and we got a good room rate compared to other hotels in the area ,0.765
5629,Park Lane Mews Hotel, Location Good breakfast buffett ,0.4404
5630,Park Lane Mews Hotel, The hotel clean with nice and friendly staff easy to find and in a nice area After our business meeting it was easy to have dinner in a nearby pub ,0.946
5631,Park Lane Mews Hotel, Location,0
5632,Park Lane Mews Hotel, Our room was spacious relative to other hotels in London in the same price range in this area The staff were very helpful and cheery The bathroom though small was functional and very well lit The location is excellent We did not try the food ,0.9193
5633,Park Lane Mews Hotel, Location,0
5634,Park Lane Mews Hotel, Not a lot but close to several nice restaurants and pubs,0.5719
5636,Park Lane Mews Hotel, Centre of London Great for visiting sites ,0.6249
5637,Park Lane Mews Hotel, The breakfast was worth not going out in search of food It was very windy and rainy for our stay and we were glad we made the choice for breakfast Staff over seeing breakfast was friendly and helpful Front desk staff for our check in was very accomidating and friendly ,0.9153
5638,Park Lane Mews Hotel, Great position relatively inexpensive for Mayfair,0.6249
5639,Park Lane Mews Hotel, Upgraded to Junior Suite which was a good size room ,0.4404
5640,Park Lane Mews Hotel, Bed comfy and clean,0.4019
5641,Park Lane Mews Hotel, The location was great for Buckingham Palace Hyde Park Piccadilly all within walking distance It is close to Shepherd Market which had several pubs and restaurants close by Most of the staff were friendly and really helpful Breakfast was okay Choice of cereal fruit sweet breads and cakes cheese ham and the full English Scrambled egg was very good ,0.9551
5642,Park Lane Mews Hotel, Location was great Charming neighborhood restaurants and pubs within a few blocks Small grocery nearby for water and snacks Easy access to bus and underground transportation ,0.872
5643,Park Lane Mews Hotel, The location and receptionist were fantastic,0.5574
5644,Park Lane Mews Hotel, Excellent location Easy access to all amenities Staff extremely courteous and obliging Allowed later check out so that we might prepare for attendance at Royal Garden Party and stored our luggage until our return Directed to facilities here we might change our clothes before return journey ,0.9168
5645,Park Lane Mews Hotel, the staff in particular Paula is extremely helpful especially in the situation where my flight was cancelled on Saturday May 27 due to the IT system breakdown of British Airways and I needed to immediately find accommodation for the night Paula remembers the guests by room numbers and immediately recognized me when I called the hotel offered me a room right away Generally all members of staff are helpful and polite ,0.5984
5647,Park Lane Mews Hotel, Location is good ,0.4404
5648,Park Lane Mews Hotel, Excellent location for Green Park surrounding area incl Buckingham Palace The reception staff were extremely helpful and allowed early checkin at no extra cost Well done to them ,0.7713
5649,Park Lane Mews Hotel, centrally located close to metro affordable for Mayfair area Bedsheets were clean,0.4019
5650,Park Lane Mews Hotel, Friendly staff,0.4939
5651,Park Lane Mews Hotel, It was convenient for this particular purpose but is some distance from the nearest tube and would not necessarily suit every visitor to London ,0
5652,Park Lane Mews Hotel, As attending the garden party at Buckingham palace the convenience of walking distance ,0.4019
5654,Park Lane Mews Hotel, Didnt choose to take breakfast Location was perfect for where we wanted to be ,0.5719
5655,Park Lane Mews Hotel, The hotel was lovely our room was very quiet clean and comfortable The location was great and the staff were very helpful and friendly We were worried about previous reviews we had read on this site about the hotel but when we arrived we needn t have worried Everything was perfect Breakfast was lovely too Shepherds Market and the mews behind the hotel was a lovely place to stroll around in the evenings ,0.9762
5656,Park Lane Mews Hotel, Not a lot,0
5657,Park Lane Mews Hotel, The property was very conveniently positioned and the bar was open late,0
5658,Park Lane Mews Hotel, The position of the hotel is perfect to observe the style of life in Mayfair You are close to pubs clubs restaurants casinos shopping theatres and a walk in the park Hyde Park ,0.5719
5660,Park Lane Mews Hotel, Albeit a little dated in furnishment and the general look the hotel is extremely clean and well equipped offering for example coffee tea and kettle in the room for extra comfort Its main asset however is the superb location with everything London has to offer close by including very nice restaurants and pubs practically around the corner ,0.9481
5661,Park Lane Mews Hotel, The location The quaint breakfast room ,0
5662,Park Lane Mews Hotel, Very helpful staff Forgot my toothbrush and they offered me a complimentary one when I was fully expecting a charge Offered an upgrade so got a massive bed The breakfast qas lovely good fresh food ,0.9324
5663,Park Lane Mews Hotel, Location is good and the staff are excellent,0.765
5664,Park Lane Mews Hotel, The staff were really friendly and helpful I even told them it was my boyfriends birthday and they put some balloons in the room ,0.762
5666,Park Lane Mews Hotel, Location was what we needed very near where we wanted to go ,0
5667,Park Lane Mews Hotel, The check in was slick and we were allocated a room early The room was on the small side but perfectly acceptable for our needs As always we had breakfast in an Italian restaurant in shepherds market nearby Excellent staff ,0.9413
5668,Park Lane Mews Hotel, The room was small but the beds very comfortable Breakfast was expensive so we went just down the block to Sofra an excellent little restaurant with FABULOUS breakfasts ,0.9245
5669,Park Lane Mews Hotel, I liked the very friendly receptionist the fantastic location the quietness of my room the comfy bed the fluffy towels the tea and coffee facility in the room and the cost which was brilliant for central London Shepherd Market is full of pubs cafes restaurants yet you are only five minutes walk from Piccadilly and Green Park ,0.9286
5670,Park Lane Mews Hotel, Friendly and helpful front desk staff room kept really clean by housekeeping and a great location,0.92
5671,Park Lane Mews Hotel, The staff is not bad and the breakfast is decent ,0.431
5672,Park Lane Mews Hotel, Friendly staff,0.4939
5673,Park Lane Mews Hotel, Bed is comfy and having a bath was good,0.4404
5674,Park Lane Mews Hotel, Welcoming hotel in a niche area of London Clean comfy rooms and friendly staff We didn t eat in the hotel and restaurants around all close at 10pm Good bars nearby and lovely shopsin Shepherds Market ,0.9382
5675,Park Lane Mews Hotel, This hotel was well located for us Staff very friendly and the rooms were spotless ,0.6801
5676,Park Lane Mews Hotel, Sandhya was very helpful and went the extra mile and gave us upgrade and made us feel welcome She was very accommodating and kind She was very professional and courteous She booked a cab and also made sure she held the door when we were struggling with our luggages She is an asset to the service ,0.9362
5677,Park Lane Mews Hotel, The staff were friendly the location was good and it was clean,0.8316
5678,Park Lane Mews Hotel, Nothing ,0
5679,Park Lane Mews Hotel, Very good cooked breakfast The bed linen was good clean The location is terrific ,0.8977
5680,Park Lane Mews Hotel, handy for where I was going next day,0
5681,Park Lane Mews Hotel, Well placed hotel Easy access Pretty neighborhood Good internet free of charge ,0.9246
5682,Park Lane Mews Hotel, Staff was very attentive The location is perfect ,0.5719
5683,Park Lane Mews Hotel, Breakfast was fine Location was good ,0.5719
5684,Park Lane Mews Hotel, The location is excellent,0.5719
5685,Park Lane Mews Hotel, Location excellent friendly and helpful staff good service at breakfast all food well cooked and tasty but ,0.7814
5686,Park Lane Mews Hotel, Nice lounge area Breakfast was nice ,0.6808
5687,Park Lane Mews Hotel, Just the location nothing else and would certainly NOT stay there again ,0.34
5688,Park Lane Mews Hotel, Nice friendly staff and great location,0.8779
5689,Park Lane Mews Hotel, Excellent value for money The location was fantastic Although the room was on a little small side I wouldn t expect any bigger for the money The breakfast was really good The quality of the sausages and bacon were very good and they made our eggs to order which was a nice touch I think this hotel is a hidden gem for those that are economy conscious yet still like high standards,0.9656
5690,Park Lane Mews Hotel, The staff were charming helpfull Enjoyed breakfast ,0.7964
5691,Park Lane Mews Hotel, Location Location Location and this hotel is in a great location Like most City hotels could do with a bit of TLC in places But it ticked all the big boxes It was clean the bed was comfy the linens fresh and the towels fluffy Staff were lovely very helpful Breakfast well I guess you had to get up at a decent time for it to be at it s best but we preferred to stay in bed until 10am so what did we expect However even at 10 40 the eggs were fresh and if not just ask and it will be done The buffet while a little depleted was still plentiful and we didn t have to wait to be seated ,0.9822
5692,Park Lane Mews Hotel, Location was extremely convenient,0
5693,Park Lane Mews Hotel, Great location Easy to get anywhere in central London from here as tube station a couple of minutes walk Staff friendly we arrived early and they made room available Breakfast was nice ,0.9186
5694,Park Lane Mews Hotel, Location of the property is good ie within walking distance to Hyde Park and Buckingham Palace Many selection of restaurants and pubs in the neighbourhood ,0.4404
5695,Park Lane Mews Hotel, Hotel is situated right in the heart of London very comfortable with a welcoming atmosphere friendly staff great food Loved it thank you Will definitely come here again,0.98
5696,Park Lane Mews Hotel, The young lady that checked us in was very pleasant very professional The location was great,0.8268
5697,Park Lane Mews Hotel, The location was good Breakfast was good Staff were happy to store our bags before check in and after checking out They were helpful and friendly ,0.9382
